seed	galaxynumber	starid	单极磁	初始星系可燃冰	初始星系潮汐锁定	距离	铁	铜	硅	钛	石	煤	原油涌泉	可燃冰	金伯利	分形硅	有机晶体	光栅石	刺笋	氢气	重氢	可燃冰
610725883	64	57	3	1	0	4.821638	43	44	7	30	23	13	12	3	8	3	1	4	1	0.82	0.16	0
613399852	64	50	3	0	0	4.70046	43	36	26	22	21	17	22	3	4	2	1	1	2	0.87	0.04	0
614030130	64	58	5	1	0	4.501971	43	44	7	30	23	13	12	14	9	6	1	2	1	0.96	0.04	0
615966521	64	59	2	0	0	2.219317	40	33	17	34	25	10	14	3	2	1	2	1	1	0.73	0.15	0
617800693	64	59	7	1	0	3.490562	26	26	14	20	14	11	22	4	10	1	1	1	1	0.77	0.14	0
618111826	64	60	16	0	0	3.457288	39	38	23	29	16	11	14	1	13	7	2	1	1	0.83	0.04	0
620844443	64	60	3	1	0	3.342791	28	25	18	31	25	12	20	3	4	1	1	2	1	0.93	0.03	0
626961254	64	58	7	0	0	2.576268	39	46	26	25	18	15	22	2	5	2	1	3	1	0.73	0.14	0
627281827	64	60	5	1	0	4.598627	37	39	23	26	21	15	22	12	1	3	1	2	1	0.83	0.04	0
630228449	64	60	5	1	0	4.63734	34	32	7	26	20	12	12	3	1	3	3	1	1	1.82	0.08	0
633351905	64	60	3	1	0	4.689002	41	31	13	23	12	11	18	4	3	4	1	2	1	0.95	0.04	0
634030461	64	60	5	0	0	4.279501	38	33	6	22	20	12	12	4	3	1	1	1	2	0.81	0.15	0
634496992	64	60	6	1	0	3.233238	24	30	23	15	18	15	22	1	1	2	1	2	1	0.7	0.14	0
636640506	64	58	7	1	0	4.912204	32	29	15	29	22	12	22	11	2	2	3	1	2	0.83	0.04	0
637329058	64	60	3	1	0	4.008091	43	36	26	22	21	17	22	7	3	1	1	5	1	0.97	0.04	0
637333131	64	49	6	1	0	4.574938	34	27	14	31	21	10	14	9	7	1	1	2	1	0.83	0.04	0
638090923	64	60	10	1	0	3.440019	36	39	15	26	27	15	12	1	1	2	2	4	1	0.86	0.04	0
639561898	64	56	2	1	0	4.528529	43	36	26	22	21	17	22	2	2	1	2	1	1	0.88	0.04	0
640441636	64	41	6	1	0	4.97774	39	33	14	22	14	12	22	1	8	1	1	1	1	1.79	0.08	0
641374692	64	57	4	1	0	4.980876	47	31	17	33	15	14	20	6	2	1	2	1	1	0.84	0.04	0
641760498	64	59	2	0	0	3.904606	28	29	38	11	26	16	22	2	1	4	1	2	1	0.83	0.04	0
641928281	64	51	2	0	0	4.837996	38	40	19	19	33	15	12	1	1	5	2	1	2	0.84	0.04	0
648466091	64	50	5	1	0	3.108752	40	37	17	34	17	14	20	10	2	1	1	1	1	0.79	0.15	0
648785550	64	49	4	0	0	4.099448	41	41	16	29	18	13	22	3	12	3	1	3	1	0.95	0.03	0
650306683	64	57	6	1	0	4.035211	34	42	9	29	34	12	12	1	1	4	2	3	1	0.85	0.04	0
651221639	64	60	3	1	0	4.418644	27	35	21	22	28	12	18	3	1	4	2	2	1	0.86	0.16	0
657801746	64	57	5	1	0	4.815058	43	37	20	29	18	15	22	4	8	1	1	1	1	0.9	0.04	0
661358428	64	60	9	1	0	4.377439	36	50	14	25	24	13	12	4	9	4	1	3	1	0.83	0.04	0
661434058	64	44	5	1	0	4.309807	39	46	19	31	19	15	22	1	3	2	1	1	3	0.9	0.04	0
661509489	64	58	7	1	0	4.079349	39	38	23	28	15	12	18	1	12	1	1	1	3	0.86	0.04	0
662726032	64	40	2	1	0	4.490366	43	38	5	26	11	8	10	2	1	1	2	12	12	0.86	0.03	0
663076029	64	59	13	0	0	4.512072	39	43	8	34	23	13	12	4	11	1	1	1	1	0.73	0.15	0
664458350	64	60	3	1	0	2.545414	29	36	14	26	24	12	22	2	1	4	1	6	1	0.82	0.14	0
668829017	64	52	7	1	0	4.514385	39	33	14	22	14	12	22	3	6	2	1	3	1	0.97	0.04	0
674328739	64	59	2	1	0	4.525824	37	42	7	32	30	13	12	1	2	1	3	1	1	0.78	0.16	0
677464106	64	60	4	1	0	4.787211	41	37	32	20	23	15	22	2	8	2	1	1	1	0.81	0.14	0
682687139	64	58	6	0	0	4.589996	37	40	17	33	18	13	22	3	2	2	1	1	1	0.92	0.03	0
684443581	64	38	4	0	0	4.119379	34	42	9	29	34	12	12	1	3	2	2	1	1	0.84	0.14	0
685102717	64	60	9	0	0	4.909934	20	27	15	20	24	10	22	5	3	2	1	1	1	0.95	0.04	0
686449103	64	60	14	0	0	3.792411	42	44	20	27	23	13	22	3	2	5	2	2	1	0.87	0.04	0
686831404	64	55	3	1	0	2.58561	39	37	22	27	19	14	18	1	3	5	2	2	1	0.82	0.13	0
687540015	64	57	4	1	0	2.649417	46	32	16	33	14	12	18	12	5	2	1	1	1	0.79	0.03	0
690674222	64	58	4	0	0	4.624295	41	41	16	29	18	13	22	10	7	1	1	2	1	0.83	0.04	0
694037153	64	58	4	1	0	4.947245	37	35	10	32	32	12	12	3	1	3	4	1	1	0.75	0.14	0
695170600	64	50	7	1	0	3.772748	32	35	22	24	29	14	22	3	12	2	2	1	2	0.83	0.03	0
696200592	64	52	4	1	0	4.038514	41	41	16	29	18	13	22	5	5	2	1	2	1	0.96	0.04	0
697218243	64	57	5	1	0	3.646213	43	36	26	22	21	17	22	4	2	4	1	3	1	0.92	0.04	0
703488249	64	60	9	0	0	4.798552	43	38	21	23	19	14	18	7	2	2	1	1	2	0.77	0.14	0
704010804	64	59	3	1	0	4.526999	41	41	16	29	18	13	22	1	2	5	1	2	1	0.86	0.14	0
704374855	64	49	2	0	0	4.065906	44	39	18	28	24	15	22	1	6	1	1	1	3	0.88	0.04	0
705632240	64	53	14	1	0	4.96811	44	39	18	28	24	15	22	2	3	1	1	4	1	0.96	0.04	0
709039273	64	47	5	0	0	3.786316	37	52	5	30	31	13	12	5	2	1	1	1	1	0.75	0.14	0
709584886	64	60	4	0	0	4.115079	37	40	16	30	26	11	18	2	3	3	1	1	1	0.73	0.16	0
713610419	64	57	2	1	0	3.618887	27	33	21	14	26	14	12	3	4	6	2	1	3	0.93	0.04	0
713639463	64	60	6	1	0	4.177608	40	38	19	32	24	15	22	11	1	3	1	1	1	0.92	0.04	0
715457660	64	60	6	0	0	3.791162	41	41	16	29	18	13	22	3	2	2	1	2	2	0.77	0.14	0
717486719	64	59	4	1	0	2.783105	36	40	9	33	24	13	12	2	5	4	2	2	1	0.8	0.14	0
718085140	64	52	5	1	0	2.154946	47	31	17	33	15	14	20	14	2	1	1	2	2	0.83	0.04	0
718578070	64	60	7	0	0	2.856634	39	36	21	33	18	15	22	2	1	3	3	1	1	0.87	0.04	0
721451033	64	51	3	1	0	4.51604	46	32	16	33	14	12	18	4	4	1	2	1	1	0.93	0.04	0
722982868	64	49	5	0	0	4.413424	37	40	17	33	18	13	22	3	5	9	1	1	1	0.85	0.04	0
724301094	64	54	5	0	0	3.945709	40	37	17	34	17	14	20	12	1	8	1	1	1	0.79	0.14	0
726807566	64	36	14	1	0	4.596717	43	39	15	30	16	12	18	1	2	4	1	3	1	0.84	0.04	0
732323069	64	53	3	1	0	4.877864	36	40	9	33	24	13	12	2	4	3	1	2	1	0.97	0.04	0
732752433	64	45	3	0	1	4.843702	41	41	23	23	17	13	22	2	7	2	1	2	1	0.82	0.04	0
737868926	64	53	9	0	0	3.587033	39	38	23	29	16	11	14	4	2	2	4	1	1	0.85	0.04	0
737933413	64	60	7	0	0	3.321212	39	36	21	33	18	15	22	1	3	5	1	1	1	0.89	0.03	0
738752781	64	53	5	1	0	4.156634	40	41	8	29	24	13	12	6	9	3	1	3	1	0.73	0.15	0
739709008	64	51	6	1	0	3.782523	37	45	8	30	33	12	12	1	3	7	1	1	1	0.97	0.04	0
742167717	64	57	3	0	0	4.963287	41	43	6	28	30	13	12	12	4	5	1	1	1	0.92	0.04	0
745023404	64	60	4	1	0	4.777708	36	39	15	26	27	15	12	2	2	3	2	1	1	0.74	0.15	0
745189579	64	60	5	0	0	4.24709	37	30	14	27	12	11	18	3	5	1	1	1	1	0.82	0.04	0
748520214	64	44	3	1	0	4.037304	37	40	17	33	18	13	22	12	7	7	4	2	2	0.97	0.04	0
753508398	64	60	5	0	0	4.441417	36	49	13	24	28	15	12	2	4	3	1	1	2	0.9	0.04	0
757758421	64	57	2	0	0	4.040713	41	31	13	23	12	11	18	5	1	1	1	2	1	0.95	0.03	0
758111113	64	57	5	1	0	4.314754	40	37	17	34	17	14	20	7	1	3	1	2	1	0.8	0.15	0
758334118	64	60	8	1	0	4.255121	39	46	26	25	18	15	22	4	2	1	1	1	1	0.85	0.04	0
761802016	64	55	6	0	0	3.217441	40	37	24	28	16	14	20	7	3	1	1	1	1	0.91	0.04	0
762547093	64	56	7	1	0	4.761226	38	42	15	32	24	13	22	1	1	3	3	1	1	0.74	0.16	0
762908323	64	60	7	1	0	4.262057	40	41	8	29	24	13	12	6	2	2	1	4	1	0.93	0.04	0
766096438	64	60	7	0	0	3.87772	39	35	27	26	21	17	22	7	1	1	2	1	2	0.73	0.15	0
766465828	64	60	5	1	0	4.684163	35	44	7	28	40	12	12	2	4	5	1	2	1	0.8	0.15	0
768522587	64	57	4	1	0	3.234287	37	50	22	25	18	13	22	1	2	1	1	1	1	0.81	0.03	0
771344081	64	45	12	1	0	4.641417	43	36	26	22	21	17	22	3	8	4	1	1	1	0.85	0.04	0
772002605	64	48	7	1	0	4.816947	31	33	19	20	25	13	18	2	8	1	2	1	2	0.75	0.16	0
774999926	64	60	3	1	0	3.5051	36	50	7	31	25	13	12	3	3	2	1	4	1	0.84	0.15	0
783630108	64	60	4	0	0	4.140429	41	40	22	22	21	15	22	6	2	1	2	1	2	0.86	0.04	0
785357720	64	53	4	1	0	4.164077	44	40	24	27	23	15	22	5	3	2	1	4	1	0.84	0.16	0
785804983	64	55	7	0	0	4.034852	24	33	24	25	17	12	22	2	1	4	2	2	2	0.84	0.04	0
786617130	64	51	3	1	0	4.32232	41	31	13	23	12	11	18	5	2	3	1	1	3	0.82	0.04	0
788905631	64	45	10	0	0	4.964082	21	25	14	18	19	11	12	2	7	3	1	1	2	0.85	0.04	0
793067526	64	55	6	0	0	2.984838	36	49	13	24	28	15	12	11	11	2	1	2	1	0.93	0.04	0
799677610	64	60	6	0	0	4.657962	35	32	14	23	22	10	18	1	1	1	2	1	1	0.87	0.03	0
801358750	64	54	6	0	0	4.150918	36	49	13	24	28	15	12	2	1	2	1	5	1	0.94	0.04	0
801879791	64	60	3	0	1	4.041144	36	40	9	33	24	13	12	2	5	8	1	1	1	0.89	0.04	0
802173644	64	60	12	0	0	4.640685	43	34	9	32	22	13	12	17	4	2	1	1	3	0.72	0.14	0
809203671	64	60	4	0	0	3.62031	40	40	14	33	22	12	18	1	6	4	2	1	2	0.78	0.14	0
810302568	64	40	9	0	0	4.146108	41	36	31	19	27	17	22	4	1	3	1	1	1	0.93	0.04	0
810773056	64	49	3	0	0	3.041219	38	52	13	30	25	13	22	3	3	6	1	1	2	0.76	0.15	0
812495525	64	53	4	1	0	4.961164	24	30	34	14	30	15	22	5	1	7	2	2	1	0.93	0.04	0
815576181	64	40	5	1	0	3.841571	41	29	18	22	14	14	22	5	6	1	1	2	1	1.21	0.04	0.69
816704763	64	52	11	0	0	4.910669	43	39	22	24	15	12	18	3	4	1	1	1	2	0.96	0.04	0
818224605	64	45	4	1	0	3.403909	33	34	15	22	24	11	22	1	1	9	2	3	1	0.89	0.04	0
819259494	64	48	5	1	0	4.247418	36	50	7	31	25	13	12	2	2	1	1	1	1	0.85	0.03	0
826210939	64	60	5	0	0	4.399237	48	32	19	24	24	15	22	2	9	1	3	12	1	0.92	0.04	0
826373557	64	48	5	1	0	4.113652	38	33	6	22	20	12	12	12	8	1	2	2	1	0.73	0.15	0
827092896	64	60	4	0	0	4.371323	49	35	11	21	26	14	12	6	1	1	2	12	1	0.93	0.04	0
829390548	64	60	5	0	0	4.535748	37	37	27	22	31	16	22	7	3	2	1	1	1	0.85	0.04	0
838470398	64	60	9	0	0	4.508726	40	40	14	22	27	15	12	12	6	1	1	3	1	0.88	0.04	0
840716843	64	54	4	1	0	4.890954	46	32	16	33	14	12	18	7	4	4	3	2	1	0.85	0.16	0
841224765	64	51	3	1	0	4.375132	41	41	16	29	18	13	22	8	2	1	2	1	2	0.83	0.04	0
842244033	64	58	4	1	0	4.572598	25	35	15	30	24	12	22	6	1	3	2	2	1	0.89	0.04	0
843783168	64	59	13	1	0	4.890184	37	38	21	29	28	14	22	1	1	3	2	1	1	0.86	0.04	0
848328326	64	50	2	1	0	2.433476	24	31	17	22	15	13	22	1	5	3	2	1	1	0.8	0.04	0
850883154	64	55	2	0	0	3.693	29	31	29	16	33	16	22	1	1	10	2	1	2	0.81	0.03	0
852212680	64	52	3	1	0	3.459508	39	48	21	26	16	12	18	3	3	3	2	1	1	0.82	0.04	0
854331075	64	57	2	0	0	4.897884	43	37	20	29	18	15	22	1	4	4	2	1	1	0.77	0.15	0
855430009	64	52	6	0	0	3.603208	39	45	25	24	22	17	22	3	1	3	1	5	1	0.89	0.03	0
855942833	64	48	5	1	1	4.675775	34	41	15	22	37	14	12	5	1	2	3	3	1	0.84	0.04	0
862754279	64	59	2	0	0	4.978133	39	37	22	28	20	13	14	1	5	1	2	1	1	0.83	0.04	0
864491161	64	41	3	1	0	4.972639	39	37	22	28	20	13	14	3	3	3	2	1	1	0.87	0.16	0
871606795	64	60	3	1	0	4.780786	39	37	22	27	19	14	18	4	3	9	2	1	1	0.93	0.04	0
872908329	64	57	8	1	0	4.833653	37	38	21	29	28	14	22	1	7	3	1	1	1	0.93	0.04	0
874247441	64	60	7	0	0	4.301466	40	33	17	33	24	11	18	4	3	3	3	2	1	0.85	0.16	0
879211985	64	59	6	0	0	4.776732	35	42	24	23	27	12	22	2	2	1	2	1	1	0.77	0.16	0
883428582	64	60	4	0	0	3.639678	37	45	8	30	33	12	12	1	1	2	1	2	3	0.78	0.16	0
885389820	64	52	4	0	0	4.526774	39	40	27	19	27	15	22	1	1	1	2	1	1	0.79	0.15	0
888081254	64	60	7	0	1	4.492944	37	49	21	24	22	15	22	2	1	2	1	1	1	0.97	0.04	0
888170657	64	60	3	1	0	3.401486	35	44	7	28	40	12	12	2	1	10	1	1	2	0.96	0.04	0
888613986	64	60	13	1	0	3.202595	47	31	17	33	15	14	20	6	2	3	3	1	1	0.72	0.14	0
891450423	64	60	3	0	0	3.614071	41	40	22	22	21	15	22	1	6	2	1	2	1	0.77	0.14	0
892037923	64	60	3	1	0	4.931847	34	42	16	23	33	12	12	4	7	2	2	1	1	0.88	0.04	0
892749730	64	60	3	0	0	4.481452	38	42	15	32	24	13	22	1	1	1	1	1	1	0.95	0.04	0
896716268	64	60	7	1	0	4.097935	41	44	12	27	29	13	12	5	2	1	1	1	1	0.81	0.04	0
902512235	64	59	8	1	1	4.502332	39	41	21	26	24	13	22	1	1	4	1	3	2	0.98	0.04	0
902561615	64	43	4	0	0	3.680784	38	40	19	28	34	14	22	6	2	6	1	2	1	0.86	0.04	0
902766450	64	60	5	1	0	4.40469	39	38	23	28	15	12	18	5	1	4	1	2	1	0.85	0.14	0
903513327	64	60	7	1	0	2.80283	39	46	26	25	18	15	22	4	5	4	1	2	1	0.71	0.14	0
906894742	64	57	4	1	0	3.526244	35	42	13	24	15	12	22	1	7	1	1	1	1	1.7	0.17	0
910358962	64	60	3	1	0	4.752408	39	36	21	33	18	15	22	4	1	1	2	2	3	0.86	0.15	0
920791528	64	60	3	0	0	4.658971	27	40	23	21	28	16	22	3	1	10	3	2	1	0.82	0.14	0
925014547	64	60	2	0	0	4.101977	26	26	14	20	14	11	22	3	4	3	1	3	2	0.97	0.03	0
928204937	64	47	4	0	0	3.41814	36	49	13	24	28	15	12	1	2	4	1	1	1	0.84	0.03	0
937858330	64	60	8	1	0	4.465294	41	39	20	27	22	12	18	2	1	5	1	2	1	0.91	0.04	0
938484374	64	60	5	0	0	4.842117	35	42	24	23	27	12	22	5	3	1	1	3	2	0.92	0.04	0
943888907	64	58	6	1	0	2.731564	46	32	16	33	14	12	18	9	3	2	1	1	1	0.81	0.03	0
945158605	64	60	6	1	0	4.608209	37	40	17	33	18	13	22	3	4	4	1	2	1	0.75	0.16	0
947096728	64	60	5	1	0	3.394778	37	49	21	24	22	15	22	3	2	3	5	1	1	0.83	0.04	0
948860463	64	60	10	1	0	3.188366	28	22	18	20	14	13	22	8	5	2	1	1	1	0.83	0.14	0
949043344	64	60	2	1	0	3.831805	39	48	14	32	17	12	18	1	7	4	1	2	1	0.82	0.15	0
952200758	64	60	3	1	0	3.930661	39	37	22	28	20	13	14	7	1	4	2	2	4	0.93	0.04	0
952322196	64	60	6	1	0	4.320655	46	35	21	25	22	13	22	5	2	1	1	1	1	0.78	0.15	0
955568745	64	59	3	1	0	4.80123	37	40	17	33	18	13	22	1	1	6	1	2	1	0.77	0.15	0
956921404	64	47	4	1	0	2.053801	42	44	20	27	23	13	22	6	2	2	1	2	1	0.79	0.03	0
958981329	64	52	7	0	0	4.962899	43	37	27	23	17	15	22	2	3	2	1	3	1	0.97	0.04	0
959955497	64	60	12	0	0	4.980672	31	26	23	23	19	14	22	6	8	4	2	2	1	0.76	0.16	0
962270768	64	60	6	0	0	4.536581	43	39	15	30	16	12	18	1	6	1	1	3	1	0.74	0.16	0
968022690	64	53	9	1	0	4.6155	37	37	27	22	31	16	22	5	3	3	1	2	1	0.95	0.04	0
968560283	64	59	12	1	0	3.846411	52	35	14	24	14	14	22	12	2	1	4	16	1	0.71	0.16	0
969097114	64	57	8	0	0	4.7536	25	44	19	21	28	14	22	3	2	1	1	3	1	0.82	0.14	0
970321206	64	54	4	1	0	4.625957	29	37	20	25	23	12	22	9	3	2	3	5	1	0.85	0.16	0
974668927	64	60	6	1	0	3.935069	29	36	26	18	26	14	22	5	2	5	2	2	1	0.93	0.03	0
976717506	64	58	3	1	0	4.654716	40	38	19	32	24	15	22	3	2	1	2	1	1	0.97	0.04	0
984098405	64	47	3	0	0	4.540294	30	27	9	30	22	12	12	10	2	1	2	2	3	0.94	0.04	0
986965145	64	60	4	0	0	4.687766	41	41	23	23	17	13	22	3	4	1	1	2	1	0.82	0.14	0
988745587	64	60	2	1	0	3.672202	34	42	9	29	34	12	12	1	1	4	1	1	1	0.95	0.04	0
989005699	64	60	4	0	0	4.788728	34	42	5	24	21	12	12	2	3	3	1	1	1	0.85	0.15	0
992419798	64	60	4	0	0	3.982803	41	37	32	20	23	15	22	1	2	1	1	1	1	0.83	0.04	0
993706207	64	60	6	0	0	4.722044	37	33	19	19	20	12	22	3	1	1	1	1	1	0.93	0.04	0
995194671	64	43	3	1	0	4.665549	43	34	9	32	22	13	12	5	1	1	2	1	1	0.76	0.16	0
997848832	64	45	3	1	0	4.535787	37	40	23	24	25	11	18	2	2	1	2	1	2	0.86	0.15	0
997984479	64	60	6	0	0	4.823586	39	48	21	26	16	12	18	2	3	1	3	3	1	0.97	0.04	0
998470902	64	60	11	0	0	4.730329	39	48	14	32	17	12	18	1	4	1	1	1	2	0.98	0.03	0
999897920	64	54	7	1	0	2.533523	36	50	7	31	25	13	12	2	9	2	1	2	1	0.8	0.03	0
1001070883	64	60	5	1	0	4.882463	41	37	25	26	24	15	22	6	9	3	1	1	1	0.88	0.04	0
1002138456	64	57	11	0	0	4.230705	39	33	14	22	14	12	22	1	3	1	3	4	1	1.23	0.04	0.67
1003189465	64	60	11	0	0	2.547595	38	41	13	26	30	13	12	2	1	2	1	1	1	0.8	0.13	0
1004576387	64	57	10	0	0	4.915923	40	50	12	31	23	12	18	1	1	7	1	2	1	0.87	0.04	0
1007657602	64	36	5	0	0	4.311219	28	32	22	25	22	13	20	8	5	1	1	2	1	0.8	0.14	0
1008479439	64	60	9	1	0	4.044759	39	48	14	32	17	12	18	1	1	2	1	1	1	0.79	0.15	0
1010000338	64	60	6	1	0	3.394998	36	50	14	25	24	13	12	1	8	5	1	2	1	0.94	0.03	0
1011457927	64	60	10	1	0	4.725798	41	40	22	22	21	15	22	2	12	1	1	3	1	0.94	0.03	0
1012145504	64	57	4	1	0	4.857013	41	40	22	22	21	15	22	6	13	1	1	3	1	0.91	0.04	0
1014485776	64	60	11	1	0	4.823536	39	46	19	31	19	15	22	2	2	1	1	1	1	0.85	0.04	0
1022093774	64	58	4	1	0	4.832592	36	40	16	27	23	13	12	5	2	7	1	1	1	0.82	0.03	0
1023663066	64	55	5	1	0	4.748363	35	41	23	22	31	14	22	2	6	2	1	1	1	0.89	0.04	0
1024145228	64	60	3	1	0	3.086157	37	40	17	33	18	13	22	3	1	1	1	1	1	0.7	0.13	0
1032981486	64	60	2	0	0	4.920358	24	28	10	30	32	11	12	3	1	1	1	1	1	0.77	0.15	0
1033831339	64	58	6	0	0	4.430085	43	37	20	29	18	15	22	3	10	4	1	1	3	0.88	0.04	0
1043054563	64	55	6	1	0	2.769	37	38	21	29	28	14	22	11	4	1	1	1	1	0.86	0.04	0
1044343552	64	57	6	1	0	2.128351	23	42	20	16	27	14	12	8	5	2	2	3	1	0.89	0.04	0
1046112811	64	60	4	1	0	2.342384	39	47	20	25	20	14	18	3	2	2	1	2	1	0.93	0.04	0
1049062148	64	47	6	1	0	4.28761	36	50	7	31	25	13	12	1	7	4	2	1	1	0.97	0.04	0
1049670313	64	60	3	1	0	2.944095	25	33	19	17	33	14	12	2	6	1	1	2	1	0.82	0.15	0
1053059508	64	46	5	0	0	4.735601	39	41	28	20	23	13	22	1	2	1	2	2	1	0.85	0.04	0
1054278836	64	60	8	1	0	4.276159	41	32	18	33	25	13	20	3	6	4	2	1	2	0.85	0.15	0
1056752031	64	54	4	0	0	4.663455	41	39	27	21	21	12	18	1	1	3	1	1	1	0.87	0.04	0
1060611295	64	57	6	0	0	3.801632	39	41	21	26	24	13	22	2	2	7	1	1	1	0.96	0.03	0
1062542197	64	59	3	0	0	3.624981	41	41	16	29	18	13	22	1	12	2	1	1	1	0.76	0.15	0
1065033304	64	60	3	0	0	4.894064	35	42	24	23	27	12	22	4	5	4	1	3	2	0.88	0.04	0
1068059113	64	58	4	1	0	2.656242	41	41	16	29	18	13	22	6	5	3	2	3	1	0.9	0.03	0
1077785103	64	60	9	0	0	4.96455	36	40	9	33	24	13	12	3	3	1	2	3	1	0.91	0.04	0
1080436223	64	56	3	1	0	4.995001	43	37	20	29	18	15	22	3	5	3	2	2	3	0.84	0.04	0
1081249036	64	41	6	0	0	4.995152	25	44	19	21	28	14	22	2	7	3	1	1	1	0.84	0.04	0
1088631158	64	60	4	0	0	4.737231	30	32	22	22	15	11	18	7	6	2	1	4	2	0.94	0.04	0
1091604975	64	43	4	0	0	4.279294	34	42	9	29	34	12	12	5	2	2	1	2	1	0.78	0.16	0
1091621023	64	55	7	1	0	4.06659	39	38	23	28	15	12	18	1	1	5	2	1	2	0.76	0.15	0
1095121033	64	60	4	1	0	4.018278	43	39	22	24	15	12	18	2	10	3	1	3	3	0.78	0.15	0
1099097625	64	54	4	1	0	4.654107	23	33	16	25	23	12	12	3	4	2	1	2	1	0.81	0.14	0
1099670723	64	52	10	1	0	4.78248	36	50	7	31	25	13	12	6	7	3	1	3	1	0.91	0.04	0
1105878421	64	55	5	1	0	4.673573	22	25	22	18	13	11	22	5	1	3	1	1	1	0.96	0.04	0
1110184143	64	60	8	0	0	3.318605	40	36	22	25	32	12	22	1	1	2	1	1	1	0.92	0.04	0
1113505773	64	49	8	1	0	4.922901	38	33	6	22	20	12	12	11	2	6	1	2	1	0.75	0.16	0
1113827518	64	56	6	0	0	3.921231	43	38	5	26	11	8	10	3	5	5	1	12	12	0.86	0.04	0
1117005626	64	60	6	1	0	4.130892	41	37	25	26	24	15	22	2	2	1	4	1	1	0.86	0.04	0
1118616717	64	52	5	0	0	4.708604	36	40	16	27	23	13	12	3	3	8	1	1	1	0.94	0.04	0
1120131776	64	59	8	0	0	4.215821	43	39	15	30	16	12	18	1	6	1	1	1	1	0.83	0.04	0
1120442919	64	42	8	1	0	4.290421	40	37	17	34	17	14	20	1	3	1	1	2	1	0.87	0.04	0
1120901845	64	53	9	1	0	4.526652	41	44	12	27	29	13	12	6	1	1	1	1	2	0.81	0.16	0
1123415512	64	60	5	1	0	4.249207	39	38	23	29	16	11	14	4	3	1	1	1	1	0.98	0.04	0
1124480809	64	56	2	0	0	4.643022	23	32	22	18	26	14	12	4	7	3	1	2	1	0.9	0.04	0
1124579004	64	60	12	0	0	3.56436	50	32	14	30	13	12	14	7	3	10	4	12	2	0.7	0.15	0
1125690054	64	47	8	1	0	2.296504	43	39	15	30	16	12	18	4	13	2	2	2	2	0.92	0.04	0
1126563573	64	50	12	1	0	3.78705	43	40	16	35	16	14	20	6	1	5	1	2	1	0.74	0.14	0
1131326276	64	53	6	1	0	3.182764	40	40	14	33	22	12	18	3	1	2	1	2	1	0.84	0.04	0
1133254303	64	52	2	1	0	3.789046	42	43	14	28	24	13	22	6	9	7	1	3	1	0.94	0.04	0
1135481352	64	57	5	0	0	4.786825	39	37	22	28	20	13	14	1	4	2	1	1	3	0.78	0.14	0
1138250635	64	60	7	0	0	4.930395	36	50	7	31	25	13	12	5	4	3	1	1	1	0.92	0.04	0
1142235541	64	60	13	0	0	4.833204	39	35	27	26	21	17	22	7	2	1	2	1	1	0.73	0.14	0
1142550347	64	51	2	0	0	4.712639	40	40	14	22	27	15	12	1	1	1	1	1	1	0.88	0.04	0
1144670261	64	42	3	1	0	2.298106	46	42	14	31	15	12	18	5	1	2	2	2	1	0.92	0.04	0
1146353352	64	55	3	1	0	4.799939	43	36	26	22	21	17	22	1	2	1	1	3	1	0.95	0.04	0
1148814639	64	60	11	1	0	3.071665	38	42	15	32	24	13	22	1	1	1	2	2	1	0.82	0.04	0
1171124960	64	60	6	0	0	3.367989	37	50	15	31	19	13	22	3	5	5	1	1	1	0.92	0.04	0
1172669855	64	41	5	0	0	2.971951	39	43	8	34	23	13	12	5	10	1	1	7	1	0.81	0.15	0
1178950349	64	55	6	1	0	4.555368	26	40	20	23	20	13	18	1	1	2	1	3	1	0.86	0.04	0
1183764028	64	56	12	1	0	3.482013	41	41	23	23	17	13	22	10	5	8	1	2	1	0.81	0.04	0
1187866540	64	60	5	1	0	3.253631	41	41	16	29	18	13	22	12	2	1	1	5	1	0.71	0.14	0
1188226789	64	58	5	1	0	4.554779	26	30	22	25	19	13	18	4	1	1	1	1	1	0.93	0.03	0
1188563393	64	51	2	1	0	3.902407	32	34	7	22	30	11	12	5	3	2	1	1	1	0.72	0.16	0
1189043690	64	60	5	0	0	4.503579	28	23	19	14	15	12	18	2	4	5	2	1	1	0.92	0.04	0
1192837795	64	60	2	1	0	4.843287	39	36	28	27	17	15	22	6	5	4	1	1	4	0.79	0.16	0
1193715568	64	52	5	1	0	4.666187	39	29	23	19	20	14	22	6	2	1	1	1	1	0.84	0.04	0
1198460169	64	60	2	1	0	3.444166	36	49	13	24	28	15	12	1	2	2	3	1	2	0.84	0.04	0
1199462090	64	59	4	1	1	4.785762	52	31	23	21	20	16	22	6	7	1	2	13	1	0.85	0.04	0
1205731145	64	51	2	0	0	4.932127	26	28	27	24	21	16	22	7	2	1	1	2	1	0.73	0.16	0
1207876947	64	60	2	0	0	4.985247	36	39	15	26	27	15	12	7	1	1	1	1	1	0.76	0.14	0
1208016693	64	58	8	1	0	4.655728	36	33	11	19	26	12	12	7	1	1	1	2	1	0.89	0.04	0
1214217003	64	60	11	1	0	2.608586	50	35	19	21	20	14	22	7	5	6	2	12	1	0.8	0.03	0
1219244143	64	51	13	1	0	3.323631	25	23	17	23	20	13	22	5	1	2	1	1	1	0.8	0.03	0
1219785892	64	58	5	0	1	2.193758	28	24	13	21	12	10	18	2	1	1	1	4	1	0.8	0.03	0
